"area_name","area_code","date","new_cases","total_cases"
"Barnet","E09000003",2020-04-15,24,1063
"Bexley","E09000004",2020-04-15,19,548
"Brent","E09000005",2020-04-15,30,1155
"Bromley","E09000006",2020-04-15,26,898
"Camden","E09000007",2020-04-15,21,494
"Croydon","E09000008",2020-04-15,43,1176
"Ealing","E09000009",2020-04-15,44,905
"Enfield","E09000010",2020-04-15,15,667
"Greenwich","E09000011",2020-04-15,16,590
"Hackney and City of London","E09000012",2020-04-15,12,573
"Hammersmith and Fulham","E09000013",2020-04-15,30,450
"Haringey","E09000014",2020-04-15,14,496
"Harrow","E09000015",2020-04-15,17,746
"Havering","E09000016",2020-04-15,21,570
"Hillingdon","E09000017",2020-04-15,22,597
"Hounslow","E09000018",2020-04-15,17,559
"Islington","E09000019",2020-04-15,10,373
"Kensington and Chelsea","E09000020",2020-04-15,6,405
"Kingston upon Thames","E09000021",2020-04-15,17,373
"Lambeth","E09000022",2020-04-15,24,1014
"Lewisham","E09000023",2020-04-15,25,821
"Merton","E09000024",2020-04-15,14,575
"Newham","E09000025",2020-04-15,17,866
"Redbridge","E09000026",2020-04-15,12,616
"Richmond upon Thames","E09000027",2020-04-15,9,329
"Southwark","E09000028",2020-04-15,27,1094
"Sutton","E09000029",2020-04-15,34,584
"Tower Hamlets","E09000030",2020-04-15,14,567
"Waltham Forest","E09000031",2020-04-15,30,657
"Wandsworth","E09000032",2020-04-15,20,839
"Westminster","E09000033",2020-04-15,15,561
"Barking and Dagenham","E09000002",2020-04-16,12,430
"Barnet","E09000003",2020-04-16,20,1083
"Bexley","E09000004",2020-04-16,23,571
"Brent","E09000005",2020-04-16,40,1195
"Bromley","E09000006",2020-04-16,29,927
"Camden","E09000007",2020-04-16,11,505
"Croydon","E09000008",2020-04-16,34,1210
"Ealing","E09000009",2020-04-16,25,930
"Enfield","E09000010",2020-04-16,22,689
"Greenwich","E09000011",2020-04-16,13,603
"Hackney and City of London","E09000012",2020-04-16,6,579
